tournament_name,year,data_quality,status,source,source_url,forum_url,wiki_url,spreadsheet_url,bracket_url,discord_url,rank_range,team_size,format,notes
[STD] osu! Belgium (or Belux idk) Team Tournament 2026 | BeLux | 2v2 ts2 [Regs Open !!!],2026,low,discovered,forum_55,https://osu.ppy.sh/community/forums/topics/2200859,https://osu.ppy.sh/community/forums/topics/2200859,,,,,,2,2v2,discovered but missing structured data links
"[FR][Inscriptions] 5 Digits French Cup 2026 (Draft, 4v4, To6, No BWS)",2026,low,discovered,forum_55,https://osu.ppy.sh/community/forums/topics/2200826,https://osu.ppy.sh/community/forums/topics/2200826,,,,,,4,4v4,discovered but missing structured data links
"[STD, o!m4k][1v1][Open Rank] Canonical LAN osu! UCI During Spring",2026,low,discovered,forum_55,https://osu.ppy.sh/community/forums/topics/2200393,https://osu.ppy.sh/community/forums/topics/2200393,,,,,,1,1v1,discovered but missing structured data links
[STD] Suomen Alueellinen Turnaus [ 2v2 | Open Rank | FI only ] Regs Open!,2026,low,discovered,forum_55,https://osu.ppy.sh/community/forums/topics/2198883,https://osu.ppy.sh/community/forums/topics/2198883,,,,,,2,2v2,discovered but missing structured data links
[STD 1v1] Letni Obóz Èze [1k+ PL ONLY] [REGS OPEN],2026,low,discovered,forum_55,https://osu.ppy.sh/community/forums/topics/2198834,https://osu.ppy.sh/community/forums/topics/2198834,,,,,,1,1v1,discovered but missing structured data links
"Saintt 5's Tournament 10,000 - 99,999 , 4v4 TS4 - 6 | Team Reg Open [IDN ONLY]",2026,low,discovered,forum_55,https://osu.ppy.sh/community/forums/topics/2178016,https://osu.ppy.sh/community/forums/topics/2178016,,,,,,4,4v4,discovered but missing structured data links
"[STD] [Chinese/中文] Summer Dew Cup [4v4 Draft, TS8] [#4,000 - ∞]",2026,low,discovered,forum_55,https://osu.ppy.sh/community/forums/topics/2200164,https://osu.ppy.sh/community/forums/topics/2200164,,,,,,4,4v4,discovered but missing structured data links
[STD 1v1] South Africa osu! Tournament 7 [REG Closed] (Sponsored by ACGL),2026,low,discovered,forum_55,https://osu.ppy.sh/community/forums/topics/2161070,https://osu.ppy.sh/community/forums/topics/2161070,,,,,,1,1v1,discovered but missing structured data links
[STD] LeBron James Suiji | 4v4 | International | Open Rank | Player & Staff Registrations Open,2026,low,discovered,forum_55,https://osu.ppy.sh/community/forums/topics/2195943,https://osu.ppy.sh/community/forums/topics/2195943,,,,,,4,4v4,discovered but missing structured data links
"[STD] The Grand Orchestra | 3v3 Ts6 | #1.000 - #99.000 BWS | Team, FA & Staff Regs Open!",2026,low,discovered,forum_55,https://osu.ppy.sh/community/forums/topics/2197109,https://osu.ppy.sh/community/forums/topics/2197109,,,,,,3,3v3,discovered but missing structured data links
[STD] Midarna's Aim Battle Royale | FR speakers Only | Open rank,2026,low,discovered,forum_55,https://osu.ppy.sh/community/forums/topics/2199701,https://osu.ppy.sh/community/forums/topics/2199701,,,,,,,,discovered but missing structured data links
"[STD] Play-Osu.RU Extemely High Standards Tournament (1v1, Open Rank, RU-Speaking)",2026,low,discovered,forum_55,https://osu.ppy.sh/community/forums/topics/2197945,https://osu.ppy.sh/community/forums/topics/2197945,,,,,,1,1v1,discovered but missing structured data links
[1V1] [STD] KEL ONLINE INVITATIONAL,2026,low,discovered,forum_55,https://osu.ppy.sh/community/forums/topics/2198792,https://osu.ppy.sh/community/forums/topics/2198792,,,,,,1,1v1,discovered but missing structured data links
[osu!Standard] (Open rank) Sweden Cup 2026 [Registrations open],2026,low,discovered,forum_55,https://osu.ppy.sh/community/forums/topics/2198246,https://osu.ppy.sh/community/forums/topics/2198246,,,,,,,,discovered but missing structured data links
[STD] Australian States Cup 2026 (AU/NZ only) | 3v3 | Open Rank (Registrations Open!),2026,low,discovered,forum_55,https://osu.ppy.sh/community/forums/topics/2193923,https://osu.ppy.sh/community/forums/topics/2193923,,,,,,3,3v3,discovered but missing structured data links
[STD | 28k-ထ | 2v2 TS2] Gambling Gulag League 2 [STAFF/PLAYER REG OPEN],2026,low,discovered,forum_55,https://osu.ppy.sh/community/forums/topics/2176063,https://osu.ppy.sh/community/forums/topics/2176063,,,,,,2,2v2,discovered but missing structured data links
[STD][Staff Regs OPEN // Player Regs CLOSED][75k-200k] Redshift Frequency [3v3 TS5],2026,low,discovered,forum_55,https://osu.ppy.sh/community/forums/topics/2190179,https://osu.ppy.sh/community/forums/topics/2190179,,,,,,3,3v3,discovered but missing structured data links
[STD] Open Rank | Suiji | 4v4 | Kitsune Cup | [Habla Hispana Only] | [Regs Closed],2026,low,discovered,forum_55,https://osu.ppy.sh/community/forums/topics/2188468,https://osu.ppy.sh/community/forums/topics/2188468,,,,,,4,4v4,discovered but missing structured data links
