username,elitebotix_score,skill_issue_score,bancho_score,lazer_score,recent_tournament_form,consistency_score,reliability_multiplier,activity_multiplier,final_power_score,provisional,base_power_score,tournaments_played_last_12m,days_since_last_event,explanation,debug
Cittas,,,30.1,,14.66,25.0,0.8688,0.9376,32.66,True,40.09,1,176.0,"Cittas scores 32.66 with bancho score 30.1, consistency score 25.0, recent tournament form 14.7; reliability 0.869, activity 0.938, provisional",{}
bob man,,,54.75,,15.42,25.0,0.85,0.9093,32.63,True,42.21,0,428.0,"bob man scores 32.63 with bancho score 54.8, consistency score 25.0, recent tournament form 15.4; reliability 0.850, activity 0.909, provisional",{}
Goold,,,22.37,,22.42,25.0,0.8688,0.9153,32.62,True,41.02,1,338.0,"Goold scores 32.62 with consistency score 25.0, recent tournament form 22.4, bancho score 22.4; reliability 0.869, activity 0.915, provisional",{}
mailman,,,37.29,,14.87,25.0,0.8688,0.918,32.47,True,40.71,1,309.0,"mailman scores 32.47 with bancho score 37.3, consistency score 25.0, recent tournament form 14.9; reliability 0.869, activity 0.918, provisional",{}
RAiMEi_BOTTliUM,,,25.52,,20.3,25.0,0.8688,0.9147,32.46,True,40.85,1,345.0,"RAiMEi_BOTTliUM scores 32.46 with bancho score 25.5, consistency score 25.0, recent tournament form 20.3; reliability 0.869, activity 0.915, provisional",{}
vetoed,,,36.13,,21.41,25.0,0.85,0.9089,32.39,True,41.92,0,435.0,"vetoed scores 32.39 with bancho score 36.1, consistency score 25.0, recent tournament form 21.4; reliability 0.850, activity 0.909, provisional",{}
Phel,,,21.79,,21.15,25.0,0.8688,0.9153,32.38,True,40.72,1,338.0,"Phel scores 32.38 with consistency score 25.0, bancho score 21.8, recent tournament form 21.1; reliability 0.869, activity 0.915, provisional",{}
Roba,,,27.16,,24.78,25.0,0.85,0.9083,32.33,True,41.88,0,449.0,"Roba scores 32.33 with bancho score 27.2, consistency score 25.0, recent tournament form 24.8; reliability 0.850, activity 0.908, provisional",{}
36R,,,28.29,,18.24,25.0,0.8688,0.9153,32.33,True,40.66,1,338.0,"36R scores 32.33 with bancho score 28.3, consistency score 25.0, recent tournament form 18.2; reliability 0.869, activity 0.915, provisional",{}
Jekuru,,,23.84,,19.82,25.0,0.8688,0.9153,32.3,True,40.62,1,338.0,"Jekuru scores 32.30 with consistency score 25.0, bancho score 23.8, recent tournament form 19.8; reliability 0.869, activity 0.915, provisional",{}
ded24lol,,,27.46,,17.59,25.0,0.8688,0.9186,32.29,True,40.46,1,303.0,"ded24lol scores 32.29 with bancho score 27.5, consistency score 25.0, recent tournament form 17.6; reliability 0.869, activity 0.919, provisional",{}
hubbawubba,,,33.33,,14.81,25.0,0.8688,0.9186,32.22,True,40.38,1,303.0,"hubbawubba scores 32.22 with bancho score 33.3, consistency score 25.0, recent tournament form 14.8; reliability 0.869, activity 0.919, provisional",{}
TEQUILA BABY,,,33.39,,14.97,25.0,0.8688,0.9148,32.12,True,40.42,1,344.0,"TEQUILA BABY scores 32.12 with bancho score 33.4, consistency score 25.0, recent tournament form 15.0; reliability 0.869, activity 0.915, provisional",{}
xidorn,,,21.03,,19.43,25.0,0.8688,0.9158,32.08,True,40.32,1,332.0,"xidorn scores 32.08 with consistency score 25.0, bancho score 21.0, recent tournament form 19.4; reliability 0.869, activity 0.916, provisional",{}
-warb-,,,29.89,,15.43,25.0,0.8688,0.9153,31.99,True,40.23,1,338.0,"-warb- scores 31.99 with bancho score 29.9, consistency score 25.0, recent tournament form 15.4; reliability 0.869, activity 0.915, provisional",{}
