username,elitebotix_score,skill_issue_score,bancho_score,lazer_score,recent_tournament_form,consistency_score,reliability_multiplier,activity_multiplier,final_power_score,provisional,base_power_score,tournaments_played_last_12m,days_since_last_event,explanation,debug
superi0r,,,73.56,,39.55,77.08,0.8688,0.9494,44.11,True,53.48,1,127.0,"superi0r scores 44.11 with consistency score 77.1, bancho score 73.6, recent tournament form 39.5; reliability 0.869, activity 0.949, provisional",{}
Rebo,,,48.87,,56.95,50.0,0.8688,0.9409,44.09,True,53.94,1,161.0,"Rebo scores 44.09 with recent tournament form 57.0, consistency score 50.0, bancho score 48.9; reliability 0.869, activity 0.941, provisional",{}
minefieldsurfer,,,44.88,,57.37,50.0,0.8688,0.9497,43.92,True,53.23,1,126.0,"minefieldsurfer scores 43.92 with recent tournament form 57.4, consistency score 50.0, bancho score 44.9; reliability 0.869, activity 0.950, provisional",{}
YMD,,,54.07,,47.03,78.57,0.8688,0.9439,43.89,True,53.51,1,148.0,"YMD scores 43.89 with consistency score 78.6, bancho score 54.1, recent tournament form 47.0; reliability 0.869, activity 0.944, provisional",{}
Mekeyo,,,46.18,,48.27,86.67,0.8688,0.9425,43.87,True,53.58,1,154.0,"Mekeyo scores 43.87 with consistency score 86.7, recent tournament form 48.3, bancho score 46.2; reliability 0.869, activity 0.943, provisional",{}
Bubbleman,,,56.71,,45.39,79.35,0.8688,0.9478,43.87,True,53.28,1,133.0,"Bubbleman scores 43.87 with consistency score 79.3, bancho score 56.7, recent tournament form 45.4; reliability 0.869, activity 0.948, provisional",{}
she gon pay me,,,37.98,,51.85,84.46,0.8688,0.9442,43.83,True,53.43,1,147.0,"she gon pay me scores 43.83 with consistency score 84.5, recent tournament form 51.9, bancho score 38.0; reliability 0.869, activity 0.944, provisional",{}
Ternafis,,,27.72,,57.15,79.55,0.8688,0.9425,43.73,True,53.41,1,154.0,"Ternafis scores 43.73 with consistency score 79.5, recent tournament form 57.1, bancho score 27.7; reliability 0.869, activity 0.943, provisional",{}
hexi,,,61.31,,51.11,50.0,0.8688,0.9409,43.66,True,53.41,1,161.0,"hexi scores 43.66 with bancho score 61.3, recent tournament form 51.1, consistency score 50.0; reliability 0.869, activity 0.941, provisional",{}
Flyer,,,36.72,,54.03,76.27,0.8688,0.9442,43.64,True,53.2,1,147.0,"Flyer scores 43.64 with consistency score 76.3, recent tournament form 54.0, bancho score 36.7; reliability 0.869, activity 0.944, provisional",{}
