tournament_name,year,data_quality,status,source,source_url,forum_url,wiki_url,spreadsheet_url,bracket_url,discord_url,rank_range,team_size,format,notes
3WC 2021,2021,partial,discovered,osu_wiki,https://osu.ppy.sh/wiki/en/Tournaments/3WC/2021,,https://osu.ppy.sh/wiki/en/Tournaments/3WC/2021,,,,,,,has at least one structured source
3WC 2025,2025,partial,discovered,osu_wiki,https://osu.ppy.sh/wiki/en/Tournaments/3WC/2025,,https://osu.ppy.sh/wiki/en/Tournaments/3WC/2025,,,,,,,has at least one structured source
4CWC 2021,2021,partial,discovered,osu_wiki,https://osu.ppy.sh/wiki/en/Tournaments/4CWC/2021,,https://osu.ppy.sh/wiki/en/Tournaments/4CWC/2021,,,,,,,has at least one structured source
4CWC 2022,2022,partial,discovered,osu_wiki,https://osu.ppy.sh/wiki/en/Tournaments/4CWC/2022,,https://osu.ppy.sh/wiki/en/Tournaments/4CWC/2022,,,,,,,has at least one structured source
4DM 2023,2023,partial,discovered,osu_wiki,https://osu.ppy.sh/wiki/en/Tournaments/4DM/2023,,https://osu.ppy.sh/wiki/en/Tournaments/4DM/2023,,,,,,,has at least one structured source
4DM 2024,2024,partial,discovered,osu_wiki,https://osu.ppy.sh/wiki/en/Tournaments/4DM/2024,,https://osu.ppy.sh/wiki/en/Tournaments/4DM/2024,,,,,,,has at least one structured source
4DPT 2024,2024,partial,discovered,osu_wiki,https://osu.ppy.sh/wiki/en/Tournaments/4DPT/2024,,https://osu.ppy.sh/wiki/en/Tournaments/4DPT/2024,,,,,,,has at least one structured source
4WC 2024,2024,partial,discovered,osu_wiki,https://osu.ppy.sh/wiki/en/Tournaments/4WC/2024,,https://osu.ppy.sh/wiki/en/Tournaments/4WC/2024,,,,,,,has at least one structured source
4WC 2025,2025,partial,discovered,osu_wiki,https://osu.ppy.sh/wiki/en/Tournaments/4WC/2025,,https://osu.ppy.sh/wiki/en/Tournaments/4WC/2025,,,,,,,has at least one structured source
AIT 2022,2022,partial,discovered,osu_wiki,https://osu.ppy.sh/wiki/en/Tournaments/AIT/2022,,https://osu.ppy.sh/wiki/en/Tournaments/AIT/2022,,,,,,,has at least one structured source
AIT 2023,2023,partial,discovered,osu_wiki,https://osu.ppy.sh/wiki/en/Tournaments/AIT/2023,,https://osu.ppy.sh/wiki/en/Tournaments/AIT/2023,,,,,,,has at least one structured source
ATT 2020,2020,partial,discovered,osu_wiki,https://osu.ppy.sh/wiki/en/Tournaments/ATT/2020,,https://osu.ppy.sh/wiki/en/Tournaments/ATT/2020,,,,,,,has at least one structured source
ATT 2021,2021,partial,discovered,osu_wiki,https://osu.ppy.sh/wiki/en/Tournaments/ATT/2021,,https://osu.ppy.sh/wiki/en/Tournaments/ATT/2021,,,,,,,has at least one structured source
CIC 2020,2020,partial,discovered,osu_wiki,https://osu.ppy.sh/wiki/en/Tournaments/CIC/2020,,https://osu.ppy.sh/wiki/en/Tournaments/CIC/2020,,,,,,,has at least one structured source
CIC 2021,2021,partial,discovered,osu_wiki,https://osu.ppy.sh/wiki/en/Tournaments/CIC/2021,,https://osu.ppy.sh/wiki/en/Tournaments/CIC/2021,,,,,,,has at least one structured source
CIC 2022,2022,partial,discovered,osu_wiki,https://osu.ppy.sh/wiki/en/Tournaments/CIC/2022,,https://osu.ppy.sh/wiki/en/Tournaments/CIC/2022,,,,,,,has at least one structured source
CIC 2023,2023,partial,discovered,osu_wiki,https://osu.ppy.sh/wiki/en/Tournaments/CIC/2023,,https://osu.ppy.sh/wiki/en/Tournaments/CIC/2023,,,,,,,has at least one structured source
CMC 2020,2020,partial,discovered,osu_wiki,https://osu.ppy.sh/wiki/en/Tournaments/CMC/2020,,https://osu.ppy.sh/wiki/en/Tournaments/CMC/2020,,,,,,,has at least one structured source
COT 2022,2022,partial,discovered,osu_wiki,https://osu.ppy.sh/wiki/en/Tournaments/COT/2022,,https://osu.ppy.sh/wiki/en/Tournaments/COT/2022,,,,,,,has at least one structured source
CWC 2020,2020,partial,discovered,osu_wiki,https://osu.ppy.sh/wiki/en/Tournaments/CWC/2020,,https://osu.ppy.sh/wiki/en/Tournaments/CWC/2020,,,,,,,has at least one structured source
CWC 2021,2021,partial,discovered,osu_wiki,https://osu.ppy.sh/wiki/en/Tournaments/CWC/2021,,https://osu.ppy.sh/wiki/en/Tournaments/CWC/2021,,,,,,,has at least one structured source
CWC 2022,2022,partial,discovered,osu_wiki,https://osu.ppy.sh/wiki/en/Tournaments/CWC/2022,,https://osu.ppy.sh/wiki/en/Tournaments/CWC/2022,,,,,,,has at least one structured source
CWC 2023,2023,partial,discovered,osu_wiki,https://osu.ppy.sh/wiki/en/Tournaments/CWC/2023,,https://osu.ppy.sh/wiki/en/Tournaments/CWC/2023,,,,,,,has at least one structured source
CWC 2024,2024,partial,discovered,osu_wiki,https://osu.ppy.sh/wiki/en/Tournaments/CWC/2024,,https://osu.ppy.sh/wiki/en/Tournaments/CWC/2024,,,,,,,has at least one structured source
CWC 2025,2025,partial,discovered,osu_wiki,https://osu.ppy.sh/wiki/en/Tournaments/CWC/2025,,https://osu.ppy.sh/wiki/en/Tournaments/CWC/2025,,,,,,,has at least one structured source
DACH4K 2023,2023,partial,discovered,osu_wiki,https://osu.ppy.sh/wiki/en/Tournaments/DACH4K/2023,,https://osu.ppy.sh/wiki/en/Tournaments/DACH4K/2023,,,,,,,has at least one structured source
FDC 2025,2025,partial,discovered,osu_wiki,https://osu.ppy.sh/wiki/en/Tournaments/FDC/2025,,https://osu.ppy.sh/wiki/en/Tournaments/FDC/2025,,,,,,,has at least one structured source
HRS 2024,2024,partial,discovered,osu_wiki,https://osu.ppy.sh/wiki/en/Tournaments/HRS/2024,,https://osu.ppy.sh/wiki/en/Tournaments/HRS/2024,,,,,,,has at least one structured source
ICC 2020,2020,partial,discovered,osu_wiki,https://osu.ppy.sh/wiki/en/Tournaments/ICC/2020,,https://osu.ppy.sh/wiki/en/Tournaments/ICC/2020,,,,,,,has at least one structured source
ICC 2021,2021,partial,discovered,osu_wiki,https://osu.ppy.sh/wiki/en/Tournaments/ICC/2021,,https://osu.ppy.sh/wiki/en/Tournaments/ICC/2021,,,,,,,has at least one structured source
ICC 2022,2022,partial,discovered,osu_wiki,https://osu.ppy.sh/wiki/en/Tournaments/ICC/2022,,https://osu.ppy.sh/wiki/en/Tournaments/ICC/2022,,,,,,,has at least one structured source
