#REF!,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,OWC 2025 Grand Finals ⬥ Team Statistics,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,#,,,team,avg. %max ▼,avg. score,,,w,l,pf,pa,pd,,,matches,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,#1,,PL,Poland,0.9014,"1,618,500",,,1,1,8,10,-2,,,1 - 7,vs,,7 - 3,vs,,,
,,#2,,US,United States,0.8888,"1,549,842",,,2,1,17,14,+3,,,7 - 6,vs,,3 - 7,vs,,7 - 1,vs
,,#3,,AU,Australia,0.8614,"1,525,124",,,0,1,6,7,-1,,,6 - 7,vs,,,,,,
