#REF!,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,OWC 2025 Group Stage ⬥ Performance Scores,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,#,,,player,pscore ▼,played,counted,avg. score*,avg. acc,highest score*,,,,,notes,,,
,,,,,,,,,,,,,,,,,,,,
,,★,#1,PE:,,[MG]Arnold24x24,1.659,21 / 21,10 / 11,"856,935",99.11%,,NM2,SS,"1,009,801",,"• *all scores are normalized
     (mod multipliers removed)

• performance score takes into account relative
  scores and the amount of maps played
     (essentially 'match costs' for the entire round)

• star (★) = at least 70% participation",,,
,,★,#40,GR:,,-Puyu,1.255,20 / 22,10 / 11,"673,895",98.42%,,NM2,S,"995,563",,,,,
,,★,#41,TW:,,GAO HAO,1.253,13 / 17,8 / 11,"738,811",98.31%,,FM2,S,"992,356",,,,,
,,,#42,ES:,,ESCRUPULILLO,1.245,14 / 21,9 / 11,"779,405",98.25%,,NM2,S,"993,545",,,,,
,,★,#43,UY:,,helvetia,1.244,23 / 24,13 / 11,"668,103",99.03%,,FM2,SS,"1,000,500",,,,,
,,★,#44,FI:,,Isak-,1.233,16 / 20,9 / 11,"698,147",98.26%,,FM1,S,"973,811",,,,,
,,★,#45,NO:,,Melvr,1.233,17 / 17,13 / 11,"693,122",97.64%,,DT1,S,"986,117",,,,,
,,★,#46,SG:,,Dawnwing,1.230,17 / 24,10 / 11,"716,697",97.39%,,DT1,S,"947,726",,,,,
,,★,#47,UA:,,POMAH,1.225,17 / 20,8 / 11,"695,712",96.23%,,NM2,S,"961,586",,,,,
,,★,#48,JP:,,shouponpon,1.225,15 / 21,7 / 11,"717,901",97.83%,,FM2,S,"987,394",,,,,
,,★,#49,TH:,,chests,1.216,14 / 19,11 / 11,"685,179",96.76%,,HD1, S ,"903,097",,,,,
,,★,#50,DK:,,Sobu-,1.214,19 / 19,13 / 11,"673,023",97.69%,,DT1,S,"1,011,462",,,,,
,,,#51,MY:,,mint breeze,1.203,8 / 20,6 / 11,"761,226",97.90%,,NM2,S,"980,388",,,,,
,,★,#52,NL:,,John ethken,1.201,18 / 21,11 / 11,"696,679",98.20%,,FM2,S,"994,281",,,,,
,,★,#53,NZ:,,ozbert,1.198,17 / 20,9 / 11,"669,355",96.04%,,FM3, S ,"992,703",,,,,
,,,#54,NL:,,perthed again,1.195,11 / 21,7 / 11,"723,035",98.10%,,DT1,S,"995,063",,,,,
,,★,#55,IT:,,Toukai Teiou,1.190,14 / 15,8 / 11,"686,406",98.28%,,NM2,S,"995,743",,,,,
,,,#56,NO:,,YokesPai,1.189,7 / 17,6 / 11,"813,185",97.02%,,NM5,S,"949,371",,,,,
,,★,#57,UY:,,Rebo,1.186,19 / 24,12 / 11,"664,845",98.49%,,FM2, S ,"985,249",,,,,
,,,#58,CL:,,siiphs,1.177,13 / 21,8 / 11,"657,199",98.22%,,HR1,S,"907,494",,,,,
,,,#59,ES:,,marbl,1.175,9 / 21,6 / 11,"738,320",98.49%,,NM3,S,"975,871",,,,,
,,,#60,JP:,,YMD,1.174,12 / 21,7 / 11,"768,528",98.46%,,FM2,S,"991,854",,,,,
,,★,#61,RO:,,Kehest,1.174,15 / 20,9 / 11,"708,919",98.11%,,FM2,S,"994,796",,,,,
,,★,#62,AT:,,z10a,1.172,15 / 21,7 / 11,"715,845",97.23%,,NM5,S,"950,982",,,,,
,,★,#63,BE:,,hexi,1.169,18 / 22,12 / 11,"654,829",98.24%,,NM2,S,"998,936",,,,,
,,,#64,PH:,,Icarussy,1.169,15 / 22,8 / 11,"708,752",97.41%,,FM3,S,"993,639",,,,,
,,,#65,FR:,,calangi,1.168,13 / 19,7 / 11,"664,293",98.26%,,FM1,S,"986,694",,,,,
,,★,#66,GR:,,JackPaX,1.167,19 / 22,11 / 11,"617,205",97.39%,,HD2, S ,"971,825",,,,,
,,★,#67,UY:,,PLOXARU,1.157,20 / 24,11 / 11,"643,164",98.00%,,DT2,S,"959,647",,,,,
,,,#68,FI:,,Kalanluu,1.154,10 / 20,5 / 11,"703,364",97.97%,,NM4,S,"928,751",,,,,
,,,#69,FR:,,Hifkil,1.152,11 / 19,5 / 11,"738,546",98.83%,,DT3,S,"977,948",,,,,
,,,#70,IT:,,kusuriya,1.149,9 / 15,6 / 11,"712,144",98.71%,,NM3,S,"919,423",,,,,
,,,#71,SG:,,hollowknees,1.149,6 / 24,2 / 11,"704,341",98.65%,,HD1, S ,"978,031",,,,,
,,,#72,CL:,,Gonzah,1.144,4 / 21,3 / 11,"861,151",98.91%,,NM2,S,"985,097",,,,,
,,★,#73,TW:,,Flyer,1.143,12 / 17,8 / 11,"676,304",97.83%,,DT1,A,"975,356",,,,,
,,★,#74,JP:,,Furamun,1.142,17 / 21,9 / 11,"670,733",97.68%,,FM2, S ,"985,356",,,,,
,,★,#75,MY:,,Rampax,1.135,16 / 20,8 / 11,"690,009",97.71%,,DT1,S,"994,568",,,,,
,,★,#76,UY:,,Melxdy,1.125,20 / 24,12 / 11,"633,808",98.06%,,DT1,S,"996,775",,,,,
,,,#77,SG:,,Mekeyo,1.123,12 / 24,6 / 11,"744,537",97.48%,,HR1,S,"950,903",,,,,
,,,#78,TW:,,Ruyaya,1.122,11 / 17,6 / 11,"671,574",97.36%,,HD2, S ,"933,047",,,,,
