#REF!,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,OWC 2025 Qualifiers ⬥ Performance Scores,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,#,,,player,pscore ▼,played,counted,avg. score*,avg. acc,highest score*,,,,,,notes,,,
,,,,,,,,,,,,,,,,,,,,,
,,★,#1,PL:,,MALISZEWSKI,2.591,20 / 22,10 / 11,"828,723",99.18%,,NM1,S,"1,015,930",0.91,,"• *all scores are normalized
     (mod multipliers removed)

• performance score takes into account relative
  scores and the amount of maps played
     (essentially 'match costs' for the entire round)

• star (★) = at least 70% participation",,,
,,★,#38,RO:,,origin_,1.768,20 / 22,10 / 11,"581,722",98.41%,,NM2,S,"983,684",0.91,,,,,
,,★,#39,GB:,,fudge,1.762,17 / 22,9 / 11,"658,501",98.65%,,NM1,A,"977,143",0.77,,,,,
,,★,#40,AT:,,fedoragoose,1.762,18 / 20,10 / 11,"617,300",97.24%,,NM2,S,"970,655",0.90,,,,,
,,,#41,BR:,,Kurumiw,1.752,15 / 22,8 / 11,"636,129",97.58%,,DT1,S,"959,346",,,,,,
,,,#42,PL:,,evil grape,1.749,12 / 22,6 / 11,"711,597",98.29%,,NM2,S,"988,605",,,,,,
,,★,#43,CN:,,Crystal,1.734,18 / 22,9 / 11,"594,637",97.35%,,NM1,S,"998,894",,,,,,
,,★,#44,BY:,,khaurege12,1.729,22 / 22,11 / 11,"556,457",98.03%,,NM3,S,"920,678",,,,,,
,,,#45,GB:,,skia1,1.729,13 / 22,5 / 11,"617,374",97.73%,,NM3,S,"924,391",,,,,,
,,★,#46,ID:,,MineFrostID,1.720,22 / 22,11 / 11,"551,845",97.35%,,NM2,S,"961,517",,,,,,
,,★,#47,FR:,,FlasTEH,1.708,17 / 22,9 / 11,"605,642",97.05%,,NM1,S,"980,862",,,,,,
,,★,#48,HK:,,misha awa,1.706,21 / 22,11 / 11,"541,827",97.77%,,DT2,A,"800,981",,,,,,
,,,#49,GB:,,Accolibed,1.699,13 / 22,6 / 11,"696,450",98.01%,,NM2,S,"992,261",,,,,,
,,★,#50,PH:,,Icarussy,1.696,22 / 22,11 / 11,"556,856",97.54%,,NM2,S,"974,205",,,,,,
,,★,#51,AR:,,jackzebra,1.675,18 / 22,9 / 11,"581,498",98.10%,,NM3,S,"933,123",,,,,,
,,★,#52,BR:,,-izzy,1.668,18 / 22,9 / 11,"576,021",97.28%,,NM2,S,"992,895",,,,,,
,,★,#53,NZ:,,Saiyku,1.666,19 / 22,9 / 11,"620,871",96.79%,,NM2,S,"990,870",,,,,,
,,,#54,FR:,,Hifkil,1.647,9 / 22,5 / 11,"756,851",98.72%,,NM2,S,"994,673",,,,,,
,,★,#55,IT:,,Toukai Teiou,1.647,20 / 22,10 / 11,"591,310",98.12%,,NM2,S,"977,802",,,,,,
,,★,#56,NL:,,John ethken,1.636,17 / 22,9 / 11,"603,404",98.17%,,DT2,S,"956,074",,,,,,
,,,#57,CA:,,nujabes,1.629,11 / 22,6 / 11,"738,985",98.38%,,DT1,S,"930,414",,,,,,
