username,elitebotix_score,skill_issue_score,bancho_score,lazer_score,recent_tournament_form,consistency_score,reliability_multiplier,activity_multiplier,final_power_score,provisional,base_power_score,tournaments_played_last_12m,days_since_last_event,explanation,debug
Intercambing,,,62.62,,51.24,25.0,0.8688,0.9459,41.11,True,50.02,1,140.0,"Intercambing scores 41.11 with bancho score 62.6, recent tournament form 51.2, consistency score 25.0; reliability 0.869, activity 0.946, provisional",{}
yary,,,65.51,,49.92,25.0,0.8688,0.9457,41.02,True,49.92,1,141.0,"yary scores 41.02 with bancho score 65.5, recent tournament form 49.9, consistency score 25.0; reliability 0.869, activity 0.946, provisional",{}
[Karcher],,,62.5,,51.08,25.0,0.8688,0.9457,41.0,True,49.9,1,141.0,"[Karcher] scores 41.00 with bancho score 62.5, recent tournament form 51.1, consistency score 25.0; reliability 0.869, activity 0.946, provisional",{}
Rebo,,,48.87,,56.91,25.0,0.8688,0.9393,40.91,True,50.13,1,168.0,"Rebo scores 40.91 with recent tournament form 56.9, bancho score 48.9, consistency score 25.0; reliability 0.869, activity 0.939, provisional",{}
badeu,,,50.26,,55.56,25.0,0.8688,0.9459,40.8,True,49.64,1,140.0,"badeu scores 40.80 with recent tournament form 55.6, bancho score 50.3, consistency score 25.0; reliability 0.869, activity 0.946, provisional",{}
savilju,,,36.92,,42.82,91.6,0.8875,0.9423,40.79,True,48.78,2,155.0,"savilju scores 40.79 with consistency score 91.6, recent tournament form 42.8, bancho score 36.9; reliability 0.887, activity 0.942, provisional",{}
minefieldsurfer,,,44.88,,57.37,25.0,0.8688,0.9478,40.71,True,49.44,1,133.0,"minefieldsurfer scores 40.71 with recent tournament form 57.4, bancho score 44.9, consistency score 25.0; reliability 0.869, activity 0.948, provisional",{}
Flameztear,,,48.13,,43.3,77.44,0.8875,0.9202,40.54,True,49.64,2,288.0,"Flameztear scores 40.54 with consistency score 77.4, bancho score 48.1, recent tournament form 43.3; reliability 0.887, activity 0.920, provisional",{}
Skrowell,,,51.06,,39.24,78.9,0.8875,0.9442,40.32,True,48.11,2,147.0,"Skrowell scores 40.32 with consistency score 78.9, bancho score 51.1, recent tournament form 39.2; reliability 0.887, activity 0.944, provisional",{}
Alyra,,,55.04,,53.24,25.0,0.8688,0.9393,40.31,True,49.4,1,168.0,"Alyra scores 40.31 with bancho score 55.0, recent tournament form 53.2, consistency score 25.0; reliability 0.869, activity 0.939, provisional",{}
antonyw,,,23.17,,45.42,97.54,0.8875,0.9439,40.15,True,47.92,2,148.0,"antonyw scores 40.15 with consistency score 97.5, recent tournament form 45.4, bancho score 23.2; reliability 0.887, activity 0.944, provisional",{}
chicken_67,,,35.29,,62.55,25.0,0.8688,0.9195,40.14,True,50.25,1,294.0,"chicken_67 scores 40.14 with recent tournament form 62.5, bancho score 35.3, consistency score 25.0; reliability 0.869, activity 0.919, provisional",{}
helvetia,,,40.67,,58.49,25.0,0.8688,0.9393,40.06,True,49.1,1,168.0,"helvetia scores 40.06 with recent tournament form 58.5, bancho score 40.7, consistency score 25.0; reliability 0.869, activity 0.939, provisional",{}
sorinica17,,,45.27,,56.39,25.0,0.8688,0.9423,40.06,True,48.94,1,155.0,"sorinica17 scores 40.06 with recent tournament form 56.4, bancho score 45.3, consistency score 25.0; reliability 0.869, activity 0.942, provisional",{}
z10a,,,49.98,,54.41,25.0,0.8688,0.9423,40.02,True,48.88,1,155.0,"z10a scores 40.02 with recent tournament form 54.4, bancho score 50.0, consistency score 25.0; reliability 0.869, activity 0.942, provisional",{}
F2X,,,39.72,,58.62,25.0,0.8688,0.9393,39.94,True,48.94,1,168.0,"F2X scores 39.94 with recent tournament form 58.6, bancho score 39.7, consistency score 25.0; reliability 0.869, activity 0.939, provisional",{}
Pipipupu997,,,64.29,,48.43,25.0,0.8688,0.9409,39.83,True,48.73,1,161.0,"Pipipupu997 scores 39.83 with bancho score 64.3, recent tournament form 48.4, consistency score 25.0; reliability 0.869, activity 0.941, provisional",{}
Shinkiro,,,29.49,,61.56,25.0,0.8688,0.9423,39.5,True,48.25,1,155.0,"Shinkiro scores 39.50 with recent tournament form 61.6, bancho score 29.5, consistency score 25.0; reliability 0.869, activity 0.942, provisional",{}
gamer228666,,,58.71,,49.65,25.0,0.8688,0.9442,39.47,True,48.11,1,147.0,"gamer228666 scores 39.47 with bancho score 58.7, recent tournament form 49.6, consistency score 25.0; reliability 0.869, activity 0.944, provisional",{}
calebshucks,,,50.66,,52.49,25.0,0.8688,0.9478,39.43,True,47.88,1,133.0,"calebshucks scores 39.43 with recent tournament form 52.5, bancho score 50.7, consistency score 25.0; reliability 0.869, activity 0.948, provisional",{}
desuqe,,,53.15,,51.74,25.0,0.8688,0.9442,39.4,True,48.03,1,147.0,"desuqe scores 39.40 with bancho score 53.2, recent tournament form 51.7, consistency score 25.0; reliability 0.869, activity 0.944, provisional",{}
Akuma no Tenshi,,,53.43,,51.77,25.0,0.8688,0.9423,39.39,True,48.12,1,155.0,"Akuma no Tenshi scores 39.39 with bancho score 53.4, recent tournament form 51.8, consistency score 25.0; reliability 0.869, activity 0.942, provisional",{}
