username,elitebotix_score,skill_issue_score,bancho_score,lazer_score,recent_tournament_form,consistency_score,reliability_multiplier,activity_multiplier,final_power_score,provisional,base_power_score,tournaments_played_last_12m,days_since_last_event,explanation,debug
_AfterWind,,,,,36.34,25.0,0.8688,0.916,27.12,True,34.07,1,330.0,"_AfterWind scores 27.12 with recent tournament form 36.3, consistency score 25.0; reliability 0.869, activity 0.916, provisional",{}
120-cell,,,,,37.51,25.0,0.85,0.9104,27.09,True,35.01,0,408.0,"120-cell scores 27.09 with recent tournament form 37.5, consistency score 25.0; reliability 0.850, activity 0.910, provisional",{}
mx10000,,,,,36.21,25.0,0.8688,0.9172,27.07,True,33.97,1,317.0,"mx10000 scores 27.07 with recent tournament form 36.2, consistency score 25.0; reliability 0.869, activity 0.917, provisional",{}
ILBOSSDELPOPPIN,,,,,35.9,25.0,0.8688,0.9194,26.93,True,33.72,1,295.0,"ILBOSSDELPOPPIN scores 26.93 with recent tournament form 35.9, consistency score 25.0; reliability 0.869, activity 0.919, provisional",{}
Garalulu,,,,,35.94,25.0,0.8688,0.9172,26.9,True,33.75,1,317.0,"Garalulu scores 26.90 with recent tournament form 35.9, consistency score 25.0; reliability 0.869, activity 0.917, provisional",{}
daanit,,,,,34.91,25.0,0.8688,0.9391,26.87,True,32.93,1,169.0,"daanit scores 26.87 with recent tournament form 34.9, consistency score 25.0; reliability 0.869, activity 0.939, provisional",{}
FujiwaraNoMokou,,,,,35.9,25.0,0.8688,0.9166,26.85,True,33.72,1,323.0,"FujiwaraNoMokou scores 26.85 with recent tournament form 35.9, consistency score 25.0; reliability 0.869, activity 0.917, provisional",{}
GodRoPoNiKa,,,,,35.68,25.0,0.8688,0.9186,26.77,True,33.54,1,303.0,"GodRoPoNiKa scores 26.77 with recent tournament form 35.7, consistency score 25.0; reliability 0.869, activity 0.919, provisional",{}
Rinyeki,,,,,35.41,25.0,0.8688,0.9159,26.52,True,33.33,1,331.0,"Rinyeki scores 26.52 with recent tournament form 35.4, consistency score 25.0; reliability 0.869, activity 0.916, provisional",{}
KonKonKinakoN,,,,,35.41,25.0,0.8688,0.9153,26.5,True,33.33,1,338.0,"KonKonKinakoN scores 26.50 with recent tournament form 35.4, consistency score 25.0; reliability 0.869, activity 0.915, provisional",{}
Eagle5324,,,,,34.23,25.0,0.8688,0.9407,26.47,True,32.38,1,162.0,"Eagle5324 scores 26.47 with recent tournament form 34.2, consistency score 25.0; reliability 0.869, activity 0.941, provisional",{}
Intercambing,,,,,33.48,25.0,0.8688,0.9457,26.11,True,31.78,1,141.0,"Intercambing scores 26.11 with recent tournament form 33.5, consistency score 25.0; reliability 0.869, activity 0.946, provisional",{}
5joshi,,,,,33.56,25.0,0.8688,0.9391,25.98,True,31.85,1,169.0,"5joshi scores 25.98 with recent tournament form 33.6, consistency score 25.0; reliability 0.869, activity 0.939, provisional",{}
D I O,,,,,35.79,25.0,0.85,0.9083,25.97,True,33.63,0,449.0,"D I O scores 25.97 with recent tournament form 35.8, consistency score 25.0; reliability 0.850, activity 0.908, provisional",{}
iisobeyan,,,,,34.26,25.0,0.8688,0.9159,25.79,True,32.41,1,331.0,"iisobeyan scores 25.79 with recent tournament form 34.3, consistency score 25.0; reliability 0.869, activity 0.916, provisional",{}
